label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_M_D_04_L,G9,M,D,4,L,2.257885512,0.814428761
G9_M_D_04_R,G9,M,D,4,R,2.244862799,0.808644405
G9_M_D_05_R,G9,M,D,5,R,2.282842486,0.825421371
G9_M_D_06_R,G9,M,D,6,R,2.16050383,0.770341449
G9_M_D_07_R,G9,M,D,7,R,2.135382839,0.758645946
G9_M_D_08_R,G9,M,D,8,R,2.149767583,0.765359735
G9_M_D_09_R,G9,M,D,9,R,2.173324874,0.776258195
G9_M_D_10_R,G9,M,D,10,R,2.450861208,0.896439476
G9_M_D_11_R,G9,M,D,11,R,2.244933738,0.808676006
G9_M_D_12_R,G9,M,D,12,R,2.48119512,0.908740347
G9_M_D_13_R,G9,M,D,13,R,2.215470244,0.795464681
G9_M_D_14_L,G9,M,D,14,L,2.443935931,0.893609826
G9_M_D_15_L,G9,M,D,15,L,2.348729907,0.853874717
G9_M_D_16_L,G9,M,D,16,L,2.215689379,0.795563587
G9_M_D_17_L,G9,M,D,17,L,2.281873818,0.824996956
G9_M_D_18_U,G9,M,D,18,U,2.446322071,0.894585701
G9_M_D_20_U,G9,M,D,20,U,2.380831849,0.867449943
G9_M_D_21_U,G9,M,D,21,U,2.530935741,0.928589093
G9_M_D_22_U,G9,M,D,22,U,2.416221718,0.882205047
G9_M_D_23_U,G9,M,D,23,U,2.579436879,0.947571111
G9_M_D_24_U,G9,M,D,24,U,2.442756075,0.893126941
G9_M_D_25_U,G9,M,D,25,U,2.297147903,0.831668311
G9_M_D_26_U,G9,M,D,26,U,2.152601854,0.766677275
G9_M_D_27_U,G9,M,D,27,U,2.693640386,0.990893582
G9_M_D_28_U,G9,M,D,28,U,2.448411401,0.895439406
